dataset,task,n_total,n_train,n_calib,n_meta,n_test,fingerprint,chemberta_regular,chemberta_augmented,conformal,ad,disagreement,combined
ames,classification,7255,5079,726,725,725,complete,complete,complete,complete,complete,complete,complete
bbb_martins,classification,1955,1369,196,195,195,complete,complete,complete,complete,complete,complete,complete
bioavailability_ma,classification,640,448,65,64,63,complete,complete,complete,complete,complete,complete,complete
caco2_wang,regression,905,634,91,90,90,complete,complete,complete,complete,complete,complete,complete
clearance_hepatocyte_az,regression,1020,714,103,102,101,complete,complete,complete,complete,complete,complete,complete
clearance_microsome_az,regression,1102,772,110,110,110,complete,complete,complete,complete,complete,complete,complete
cyp2c9_substrate_carbonmangels,classification,666,466,67,67,66,complete,complete,complete,complete,complete,complete,complete
cyp2c9_veith,classification,12047,8433,1205,1205,1204,complete,complete,complete,complete,complete,complete,complete
cyp2d6_substrate_carbonmangels,classification,663,465,66,66,66,complete,complete,complete,complete,complete,complete,complete
cyp2d6_veith,classification,13089,9163,1310,1308,1308,complete,complete,complete,complete,complete,complete,complete
cyp3a4_substrate_carbonmangels,classification,667,467,67,67,66,complete,complete,complete,complete,complete,complete,complete
cyp3a4_veith,classification,12299,8609,1230,1230,1230,complete,complete,complete,complete,complete,complete,complete
dili,classification,475,333,48,47,47,complete,complete,complete,complete,complete,complete,complete
half_life_obach,regression,665,466,67,66,66,complete,complete,complete,complete,complete,complete,complete
herg,classification,639,448,64,64,63,complete,complete,complete,complete,complete,complete,complete
hia_hou,classification,578,404,58,58,58,complete,complete,complete,complete,complete,complete,complete
ld50_zhu,regression,7342,5140,734,734,734,complete,complete,complete,complete,complete,complete,complete
lipophilicity_astrazeneca,regression,4200,2941,421,419,419,complete,complete,complete,complete,complete,complete,complete
pgp_broccatelli,classification,1212,848,122,121,121,complete,complete,complete,complete,complete,complete,complete
ppbr_az,regression,1797,1258,181,179,179,complete,complete,complete,complete,complete,complete,complete
solubility_aqsoldb,regression,9576,6703,958,958,957,complete,complete,complete,complete,complete,complete,complete
vdss_lombardo,regression,1111,777,112,111,111,complete,complete,complete,complete,complete,complete,complete
