dataset,task_type,model,axis,n_test,signal_mean,signal_nonzero_rate,spearman_vs_abs_error
ames,classification,fp_primary,A,725,0.0,0.0,
ames,classification,fp_primary,B1_tautomer,725,0.016015341826774478,0.3213793103448276,0.08759061252927026
ames,classification,fp_primary,B1_protonation,725,0.013643532738385573,0.3489655172413793,0.09575179791141307
ames,classification,fp_primary,B3_stereo,725,0.004986137816915709,0.15172413793103448,0.01661294153134695
ames,classification,fp_primary,B_combined,725,0.0192104620809258,0.44275862068965516,0.09221475144345052
ames,classification,cb_regular,A,725,0.033726201312771924,0.9958620689655172,0.00020586376847429568
ames,classification,cb_regular,B1_tautomer,725,0.009166845598109397,0.3682758620689655,0.08380219765840928
ames,classification,cb_regular,B1_protonation,725,0.003959326219507642,0.26068965517241377,0.03469017342997275
ames,classification,cb_regular,B3_stereo,725,0.000970511146470503,0.07862068965517241,0.05461857298963175
ames,classification,cb_regular,B_combined,725,0.010384058741451662,0.3489655172413793,0.09444434284133728
ames,classification,cb_augmented,A,725,0.04550205537315031,0.9958620689655172,0.4436085999317902
ames,classification,cb_augmented,B1_tautomer,725,0.017581215229328984,0.3696551724137931,0.15040077919080047
ames,classification,cb_augmented,B1_protonation,725,0.007720435826931869,0.2579310344827586,0.058883772991714614
ames,classification,cb_augmented,B3_stereo,725,0.0020053241441132107,0.08413793103448276,0.10033489542166212
ames,classification,cb_augmented,B_combined,725,0.01685437322968357,0.35724137931034483,0.14114656230267691
bbb_martins,classification,fp_primary,A,195,0.0,0.0,
bbb_martins,classification,fp_primary,B1_tautomer,195,0.028274364770146842,0.4153846153846154,0.08784017992033046
bbb_martins,classification,fp_primary,B1_protonation,195,0.02560111892385674,0.5794871794871795,0.1663397893494825
bbb_martins,classification,fp_primary,B3_stereo,195,0.008702494868212882,0.28717948717948716,0.06746548358191021
bbb_martins,classification,fp_primary,B_combined,195,0.03597933445339595,0.6974358974358974,0.17030648355200081
bbb_martins,classification,cb_regular,A,195,0.013538423242946183,1.0,0.25580119438735044
bbb_martins,classification,cb_regular,B1_tautomer,195,0.003106189112301204,0.4205128205128205,0.3883125664513441
bbb_martins,classification,cb_regular,B1_protonation,195,0.0008489683448842745,0.1794871794871795,0.39765282108998495
bbb_martins,classification,cb_regular,B3_stereo,195,0.0002947834415894888,0.08717948717948718,0.143923575462305
bbb_martins,classification,cb_regular,B_combined,195,0.00244495678227751,0.38974358974358975,0.4356074412236736
bbb_martins,classification,cb_augmented,A,195,0.03761564506734487,1.0,0.6132920099046755
bbb_martins,classification,cb_augmented,B1_tautomer,195,0.009700698384395101,0.4307692307692308,0.40469009486501406
bbb_martins,classification,cb_augmented,B1_protonation,195,0.0024042794013693445,0.18974358974358974,0.3902119949268675
bbb_martins,classification,cb_augmented,B3_stereo,195,0.0011081152330743634,0.11282051282051282,0.13627765149582105
bbb_martins,classification,cb_augmented,B_combined,195,0.008932196683042458,0.38974358974358975,0.4826340081651005
bioavailability_ma,classification,fp_primary,A,63,0.0,0.0,
bioavailability_ma,classification,fp_primary,B1_tautomer,63,0.016520424720491006,0.4444444444444444,0.2108849448845999
bioavailability_ma,classification,fp_primary,B1_protonation,63,0.017758279906100422,0.6507936507936508,-0.004954818512991877
bioavailability_ma,classification,fp_primary,B3_stereo,63,0.01672281169000129,0.49206349206349204,0.2176561856836723
bioavailability_ma,classification,fp_primary,B_combined,63,0.02329803486223089,0.746031746031746,0.06613974091072922
bioavailability_ma,classification,cb_regular,A,63,0.005600948856893083,1.0,-0.07339669738863287
bioavailability_ma,classification,cb_regular,B1_tautomer,63,0.0019356279567942472,0.42857142857142855,0.0476067404083661
bioavailability_ma,classification,cb_regular,B1_protonation,63,0.0006234018057788698,0.2857142857142857,-0.16918585274587894
bioavailability_ma,classification,cb_regular,B3_stereo,63,0.0002227186466034881,0.1111111111111111,0.34816856629510273
bioavailability_ma,classification,cb_regular,B_combined,63,0.0014628163093503837,0.47619047619047616,0.07936490895040242
bioavailability_ma,classification,cb_augmented,A,63,0.029755343039844836,1.0,0.23593509984639016
bioavailability_ma,classification,cb_augmented,B1_tautomer,63,0.0025872232924844343,0.42857142857142855,0.15210739417228655
bioavailability_ma,classification,cb_augmented,B1_protonation,63,0.0011420332871150283,0.2857142857142857,0.03925593451612565
bioavailability_ma,classification,cb_augmented,B3_stereo,63,0.0003185260810364528,0.1111111111111111,0.3549867757424484
bioavailability_ma,classification,cb_augmented,B_combined,63,0.0027218514481016664,0.47619047619047616,0.1322748482506707
caco2_wang,regression,fp_primary,A,90,0.0,0.0,
caco2_wang,regression,fp_primary,B1_tautomer,90,0.06881746944899303,0.5111111111111111,-0.05389343239015111
caco2_wang,regression,fp_primary,B1_protonation,90,0.07976781705631396,0.7444444444444445,0.007329701721870246
caco2_wang,regression,fp_primary,B3_stereo,90,0.04124969363502894,0.4666666666666667,0.011439353072658089
